Tabela 2.1 - Rendimento domiciliar per capita médio e mediano, por sexo e cor ou raça, segundo as Grandes Regiões, as Unidades da Federação e os Municípios das Capitais - Brasil - 2022;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Grandes Regiões, Unidades da Federação e Municípios das Capitais;Rendimento domiciliar per capita das pessoas (R$);;;;;;;;;;;;;;;;;;;;;
;Total;;Sexo;;;;Cor ou raça ;;;;;;;;Sexo e cor ou raça;;;;;;;
;;;Homem;;Mulher;;Branca;;Parda;;Preta;;Preta ou parda;;Homem branco;;Homem preto ou pardo;;Mulher branca;;Mulher preta ou parda;
;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano;Médio;Mediano
Brasil;  1 658 ;  1 041 ;  1 695 ;  1 057 ;  1 622 ;  1 034 ;  2 215 ;  1 324 ;  1 207 ;   831 ;  1 251 ;   885 ;  1 215 ;   836 ;  2 266 ;  1 348 ;  1 262 ;   857 ;  2 169 ;  1 309 ;  1 167 ;   822 
Norte;  1 148 ;   716 ;  1 175 ;   729 ;  1 120 ;   701 ;  1 619 ;   909 ;  1 027 ;   665 ;  1 123 ;   816 ;  1 037 ;   681 ;  1 649 ;   914 ;  1 072 ;   698 ;  1 592 ;   906 ;  1 001 ;   663 
Rondônia;  1 385 ;  1 037 ;  1 436 ;  1 064 ;  1 334 ;  1 002 ;  1 677 ;  1 209 ;  1 254 ;   964 ;  1 300 ;  1 024 ;  1 259 ;   970 ;  1 721 ;  1 251 ;  1 320 ;  1 014 ;  1 635 ;  1 185 ;  1 198 ;   934 
Porto Velho;  1 338 ;   896 ;  1 410 ;   970 ;  1 267 ;   845 ;  1 756 ;  1 131 ;  1 211 ;   844 ;  1 306 ;   805 ;  1 223 ;   843 ;  2 047 ;  1 234 ;  1 248 ;   883 ;  1 506 ;  1 016 ;  1 197 ;   804 
Acre;  1 074 ;   654 ;  1 097 ;   679 ;  1 051 ;   639 ;  1 358 ;   757 ;  1 010 ;   634 ;  1 109 ;   728 ;  1 018 ;   644 ;  1 383 ;   782 ;  1 044 ;   665 ;  1 334 ;   743 ;   993 ;   629 
Rio Branco;  1 293 ;   783 ;  1 345 ;   837 ;  1 245 ;   756 ;  1 682 ;   929 ;  1 192 ;   761 ;  1 331 ;   828 ;  1 205 ;   775 ;  1 798 ;   942 ;  1 240 ;   790 ;  1 568 ;   868 ;  1 174 ;   742 
Amazonas;   991 ;   609 ;  1 001 ;   615 ;   980 ;   608 ;  1 399 ;   794 ;   914 ;   590 ;  1 016 ;   704 ;   919 ;   593 ;  1 402 ;   773 ;   937 ;   598 ;  1 397 ;   795 ;   901 ;   588 
Manaus;  1 256 ;   760 ;  1 295 ;   778 ;  1 220 ;   729 ;  1 623 ;   908 ;  1 150 ;   726 ;  1 182 ;   823 ;  1 151 ;   727 ;  1 689 ;   942 ;  1 189 ;   761 ;  1 574 ;   882 ;  1 114 ;   701 
